sit-out	TOLERATE ABSTAIN_AVOID_REFRAIN
middle	PUT_APPLY_PLACE_PAVE
position	PUT_APPLY_PLACE_PAVE
angle-park	PUT_APPLY_PLACE_PAVE
blinker	PUT_APPLY_PLACE_PAVE
slap-on	PUT_APPLY_PLACE_PAVE
clap-on	PUT_APPLY_PLACE_PAVE
slam-on	PUT_APPLY_PLACE_PAVE
double-park	PUT_APPLY_PLACE_PAVE
reline	PUT_APPLY_PLACE_PAVE REPAIR_REMEDY
reship	PUT_APPLY_PLACE_PAVE
prepose	PUT_APPLY_PLACE_PAVE
perch	PUT_APPLY_PLACE_PAVE LIE
crate	PUT_APPLY_PLACE_PAVE
pot	PUT_APPLY_PLACE_PAVE
glycerolize	PUT_APPLY_PLACE_PAVE
glycerolise	PUT_APPLY_PLACE_PAVE
macadamize	PUT_APPLY_PLACE_PAVE
macadamise	PUT_APPLY_PLACE_PAVE
tarmac	PUT_APPLY_PLACE_PAVE
barrel	PUT_APPLY_PLACE_PAVE
insert	PUT_APPLY_PLACE_PAVE INSERT
infix	PUT_APPLY_PLACE_PAVE ATTACH
place-upright	PUT_APPLY_PLACE_PAVE
talc	PUT_APPLY_PLACE_PAVE
containerize	PUT_APPLY_PLACE_PAVE
containerise	PUT_APPLY_PLACE_PAVE
shelve	PUT_APPLY_PLACE_PAVE DELAY
postmark	PUT_APPLY_PLACE_PAVE
frank	PUT_APPLY_PLACE_PAVE EXEMPT
sponge-on	PUT_APPLY_PLACE_PAVE
recess	PUT_APPLY_PLACE_PAVE CAVE_CARVE FINISH_CONCLUDE_END
station	PUT_APPLY_PLACE_PAVE
inset	PUT_APPLY_PLACE_PAVE
cobble	PUT_APPLY_PLACE_PAVE REPAIR_REMEDY
cobblestone	PUT_APPLY_PLACE_PAVE
pave	PUT_APPLY_PLACE_PAVE
archive	PUT_APPLY_PLACE_PAVE
mislay	PUT_APPLY_PLACE_PAVE
flump	PUT_APPLY_PLACE_PAVE FALL_SLIDE_DOWN
plonk	PUT_APPLY_PLACE_PAVE
plop	PUT_APPLY_PLACE_PAVE FALL_SLIDE_DOWN DROP
plump-down	PUT_APPLY_PLACE_PAVE DROP
plunk-down	PUT_APPLY_PLACE_PAVE
brush-on	PUT_APPLY_PLACE_PAVE
cement	PUT_APPLY_PLACE_PAVE ATTACH STRENGTHEN_MAKE_RESISTANT
grease	PUT_APPLY_PLACE_PAVE
re-address	PUT_APPLY_PLACE_PAVE
parallel-park	PUT_APPLY_PLACE_PAVE
putty	PUT_APPLY_PLACE_PAVE
hard-surface	PUT_APPLY_PLACE_PAVE
fraternize	BEFRIEND
fraternise	BEFRIEND
shake-hands	BEFRIEND
pal	BEFRIEND
pal-up	BEFRIEND
chum-up	BEFRIEND
weld	BEFRIEND JOIN_CONNECT
hobnob	BEFRIEND
befriend	BEFRIEND
bond	ATTACH GUARANTEE_ENSURE_PROMISE BEFRIEND
mismate	BEFRIEND
get-along-with	BEFRIEND
get-on-with	BEFRIEND
bring-together	BEFRIEND JOIN_CONNECT
draw-together	BEFRIEND
misgauge	MEASURE_EVALUATE
dimension	SHAPE MEASURE_EVALUATE
revalue	INCREASE_ENLARGE_MULTIPLY MEASURE_EVALUATE
reappraise	MEASURE_EVALUATE
titrate	MEASURE_EVALUATE
caliper	MEASURE_EVALUATE
calliper	MEASURE_EVALUATE
reassess	MEASURE_EVALUATE
reevaluate	MEASURE_EVALUATE
quantify	COUNT MEASURE_EVALUATE
mistime	MEASURE_EVALUATE
clock	MEASURE_EVALUATE
mensurate	MEASURE_EVALUATE
measure-out	MEASURE_EVALUATE
add-together	ADD
supplement	ADD
leverage	LOAD_PROVIDE_CHARGE_FURNISH ADD
plasticize	ADD CHANGE_APPEARANCE/STATE
plasticise	ADD CHANGE_APPEARANCE/STATE
adjoin	ADD BORDER
inject	INSERT ADD
add-on	ADD
reintegrate	ADD
countersign	ADD
tot	ADD
tot-up	ADD
summate	COMBINE_MIX_UNITE ADD
tote-up	ADD
denature	CONVERT_CHEMICALLY/BIOLOGICALLY/PHYSICALLY WEAKEN ADD
vitaminize	ADD
vitaminise	ADD
gild-the-lily	EMBELLISH ADD
paint-the-lily	EMBELLISH ADD
affix	ATTACH ADD
foot-up	ADD
envenom	ADD CAUSE_MENTAL_STATE
ionate	ADD
mix-in	COMBINE_MIX_UNITE ADD
salinate	ADD
rendezvous	MEET
meet-up-with	MEET
reconvene	MEET
congregate	MEET
free-associate	MEET
huddle-together	MEET
double-date	MEET
run-across	MEET
gesticulate	SIGN
gesture	SIGN
motion	SIGN
mime	SIMULATE SIGN
pantomime	SIGN
fingerspell	SIGN
finger-spell	SIGN
cross-oneself	SIGN
shrug	SIGN
rebate	CAVE_CARVE DEBASE_ADULTERATE JOIN_CONNECT
devaluate	DEBASE_ADULTERATE
devalue	DEBASE_ADULTERATE
corrupt	DEBASE_ADULTERATE CORRUPT
demoralise	DEBASE_ADULTERATE CAUSE_MENTAL_STATE
debauch	DEBASE_ADULTERATE
debase	DEBASE_ADULTERATE
vitiate	ANNUL DEBASE_ADULTERATE
deprave	DEBASE_ADULTERATE
misdirect	MISTAKE DIRECT_AIM_MANEUVER DEBASE_ADULTERATE
water-down	WEAKEN DEBASE_ADULTERATE
degrade	CAVE_CARVE DOWNPLAY_HUMILIATE DEBASE_ADULTERATE
cheapen	DEBASE_ADULTERATE
lower-oneself	DEBASE_ADULTERATE
shrug-off	DEBASE_ADULTERATE
deign	DEBASE_ADULTERATE
sideline	DEBASE_ADULTERATE
defile	DEBASE_ADULTERATE DIRTY
disqualify	CANCEL_ELIMINATE DEBASE_ADULTERATE
unfit	DEBASE_ADULTERATE
indispose	HURT_HARM_ACHE DEBASE_ADULTERATE CAUSE_MENTAL_STATE
expense	DEBASE_ADULTERATE
adulterate	DEBASE_ADULTERATE
dilute	WEAKEN DEBASE_ADULTERATE
alloy	COMBINE_MIX_UNITE DEBASE_ADULTERATE
sophisticate	DECEIVE COMPLEXIFY DEBASE_ADULTERATE CHANGE_APPEARANCE/STATE
doctor-up	DEBASE_ADULTERATE
sensualise	DEBASE_ADULTERATE
carnalise	DEBASE_ADULTERATE
mar	HURT_HARM_ACHE DEBASE_ADULTERATE
impair	HURT_HARM_ACHE DEBASE_ADULTERATE
marginalize	DEBASE_ADULTERATE
marginalise	DEBASE_ADULTERATE
brave	FACE_CHALLENGE
brave-out	FACE_CHALLENGE
front	ORIENT FACE_CHALLENGE
cope	FACE_CHALLENGE
make-do	FACE_CHALLENGE
face-up	FACE_CHALLENGE
wage	FACE_CHALLENGE
gainsay	FACE_CHALLENGE
take-the-bull-by-the-horns	FACE_CHALLENGE
play-off	FACE_CHALLENGE
brazen	FACE_CHALLENGE
tourney	FACE_CHALLENGE
count-down	COUNT
miscount	COUNT
census	COUNT
count-off	COUNT
gradate	SORT_CLASSIFY_ARRANGE
cross-index	SORT_CLASSIFY_ARRANGE
table	SORT_CLASSIFY_ARRANGE DELAY
tabularize	SORT_CLASSIFY_ARRANGE
tabularise	SORT_CLASSIFY_ARRANGE
tabulate	SORT_CLASSIFY_ARRANGE SHAPE
tidy	SORT_CLASSIFY_ARRANGE
tidy-up	SORT_CLASSIFY_ARRANGE
neaten	SORT_CLASSIFY_ARRANGE EMBELLISH
straighten	SORT_CLASSIFY_ARRANGE STRAIGHTEN
square-away	SORT_CLASSIFY_ARRANGE
recode	SORT_CLASSIFY_ARRANGE
stir-up	SORT_CLASSIFY_ARRANGE AROUSE_WAKE_ENLIVEN
raise-up	SORT_CLASSIFY_ARRANGE
collocate	SORT_CLASSIFY_ARRANGE BORDER
corral	SORT_CLASSIFY_ARRANGE AMASS ENCLOSE_WRAP
countermarch	SORT_CLASSIFY_ARRANGE MOVE_BACK
catalogue	SORT_CLASSIFY_ARRANGE
catalog	SORT_CLASSIFY_ARRANGE
stack	SORT_CLASSIFY_ARRANGE AMASS FILL
schematize	SORT_CLASSIFY_ARRANGE SHAPE
rearrange	SORT_CLASSIFY_ARRANGE
redistribute	SORT_CLASSIFY_ARRANGE
serialize	SORT_CLASSIFY_ARRANGE
serialise	SORT_CLASSIFY_ARRANGE
dichotomize	SORT_CLASSIFY_ARRANGE
dichotomise	SORT_CLASSIFY_ARRANGE
unitize	SORT_CLASSIFY_ARRANGE COMBINE_MIX_UNITE SEPARATE_FILTER_DETACH
unitise	SORT_CLASSIFY_ARRANGE COMBINE_MIX_UNITE SEPARATE_FILTER_DETACH
reclassify	SORT_CLASSIFY_ARRANGE
codify	SORT_CLASSIFY_ARRANGE
catenate	SORT_CLASSIFY_ARRANGE
catenulate	SORT_CLASSIFY_ARRANGE
stereotype	SORT_CLASSIFY_ARRANGE
categorize	SORT_CLASSIFY_ARRANGE
categorise	SORT_CLASSIFY_ARRANGE
redeploy	SORT_CLASSIFY_ARRANGE
class	SORT_CLASSIFY_ARRANGE
attribute	SORT_CLASSIFY_ARRANGE ASCRIBE
alphabetise	SORT_CLASSIFY_ARRANGE
chronologize	SORT_CLASSIFY_ARRANGE
chronologise	SORT_CLASSIFY_ARRANGE
systematize	SORT_CLASSIFY_ARRANGE
systematise	SORT_CLASSIFY_ARRANGE
systemize	SORT_CLASSIFY_ARRANGE
systemise	SORT_CLASSIFY_ARRANGE
structure	SORT_CLASSIFY_ARRANGE
string-out	SORT_CLASSIFY_ARRANGE
work-through	CREATE_MATERIALIZE
ghostwrite	CREATE_MATERIALIZE
lithograph	CREATE_MATERIALIZE
plan	PLAN_SCHEDULE CREATE_MATERIALIZE
rhyme	MATCH CREATE_MATERIALIZE
rime	MATCH CREATE_MATERIALIZE
relyric	CREATE_MATERIALIZE
interpose	INSERT PARTICIPATE CREATE_MATERIALIZE
sculpt	CAVE_CARVE CREATE_MATERIALIZE
sculpture	CAVE_CARVE CREATE_MATERIALIZE
choreograph	PLAN_SCHEDULE CREATE_MATERIALIZE
author	CREATE_MATERIALIZE
fold-up	PRESS_PUSH_FOLD CREATE_MATERIALIZE
set-to-music	CREATE_MATERIALIZE
effect	CAUSE CREATE_MATERIALIZE
effectuate	CREATE_MATERIALIZE
coin	CREATE_MATERIALIZE
compile	AMASS MOUNT_ASSEMBLE_PRODUCE CREATE_MATERIALIZE
handbuild	CREATE_MATERIALIZE
hand-build	CREATE_MATERIALIZE
occasion	CREATE_MATERIALIZE
alliterate	CREATE_MATERIALIZE
benday	CREATE_MATERIALIZE
think-up	CREATE_MATERIALIZE
dream-up	CREATE_MATERIALIZE
aquatint	CREATE_MATERIALIZE
redesign	CREATE_MATERIALIZE
co-author	CREATE_MATERIALIZE
mint	CREATE_MATERIALIZE
film-make	CREATE_MATERIALIZE
mould	MOUNT_ASSEMBLE_PRODUCE CREATE_MATERIALIZE
pen	CREATE_MATERIALIZE
indite	CREATE_MATERIALIZE
elegize	CREATE_MATERIALIZE
elegise	CREATE_MATERIALIZE
program	PLAN_SCHEDULE CREATE_MATERIALIZE
programme	PLAN_SCHEDULE CREATE_MATERIALIZE
sloganeer	CREATE_MATERIALIZE
conjure-up	CREATE_MATERIALIZE
spin-off	CREATE_MATERIALIZE
lyric	CREATE_MATERIALIZE
create-by-mental-act	CREATE_MATERIALIZE
create-mentally	CREATE_MATERIALIZE
versify	CREATE_MATERIALIZE
poetize	CREATE_MATERIALIZE
poetise	CREATE_MATERIALIZE
script	CREATE_MATERIALIZE
educe	INFER CREATE_MATERIALIZE
miscreate	CREATE_MATERIALIZE
instrumentate	CREATE_MATERIALIZE
mythologize	EXALT CREATE_MATERIALIZE
mythologise	EXALT CREATE_MATERIALIZE
create-verbally	CREATE_MATERIALIZE
lexicalize	CREATE_MATERIALIZE
lexicalise	CREATE_MATERIALIZE
invent	DECEIVE CREATE_MATERIALIZE
contrive	PLAN_SCHEDULE DIRECT_AIM_MANEUVER CREATE_MATERIALIZE
come-to-grips	MANAGE
get-to-grips	MANAGE
juggle	PLAY_SPORT/GAME MANAGE DECEIVE
preside	MANAGE
scrape-along	MANAGE
scrape-by	MANAGE
scratch-along	MANAGE
squeeze-by	MANAGE
rub-along	MANAGE
keep-in-line	MANAGE
pluck-at	MANAGE
pull-at	MANAGE
housekeep	MANAGE
mismanage	MANAGE
mishandle	MESS MANAGE
move-in-on	BOTHER MANAGE
broker	MANAGE
prorogue	DELAY
procrastinate	DELAY
drag-one's-feet	DELAY
drag-one's-heels	DELAY
dilly-dally	DELAY
dillydally	DELAY
buy-time	DELAY
postpone	DELAY
set-back	DELAY SLOW_DOWN COST
stonewall	DELAY BLOCK
dwell-on	DELAY
linger-over	DELAY
retard	DELAY SLOW_DOWN
temporize	DELAY
temporise	DELAY
reprieve	DELAY
respite	DELAY
redirect	DIRECT_AIM_MANEUVER
airt	DIRECT_AIM_MANEUVER
draw-rein	DIRECT_AIM_MANEUVER
ride-herd	DIRECT_AIM_MANEUVER
caracole	DIRECT_AIM_MANEUVER
helm	DIRECT_AIM_MANEUVER
wend	DIRECT_AIM_MANEUVER
mislead	DIRECT_AIM_MANEUVER DECEIVE
advect	DIRECT_AIM_MANEUVER
take-aim	DIRECT_AIM_MANEUVER
target	DIRECT_AIM_MANEUVER
usher	DIRECT_AIM_MANEUVER
sight	DIRECT_AIM_MANEUVER SEE
dry-dock	DIRECT_AIM_MANEUVER
drydock	DIRECT_AIM_MANEUVER
range-in	DIRECT_AIM_MANEUVER
home-in	DIRECT_AIM_MANEUVER
beacon	LIGHT_SHINE DIRECT_AIM_MANEUVER
rumpus	DISTURB
importune	DISTURB
cuckoo	REPEAT
duplicate	INCREASE_ENLARGE_MULTIPLY COPY MATCH REPEAT
reduplicate	INCREASE_ENLARGE_MULTIPLY REPEAT
replicate	COPY BEND REPEAT
iterate	REPEAT
refinance	REPEAT
parrot	REPEAT
reprise	REPEAT
reprize	REPEAT
recycle	USE REPEAT
ditto	REPEAT
reiterate	REPEAT
ingeminate	REPEAT
restate	REPEAT
emcee	EMCEE
compere	EMCEE
do-the-honors	EMCEE
splice	EMCEE WEAVE JOIN_CONNECT
tow	PULL
schlep	PULL
pull-along	PULL
hike-up	PULL INCREASE_ENLARGE_MULTIPLY
hitch-up	PULL
yank	PULL
choke-up	BLOCK
bog-down	SLOW_DOWN BLOCK
bog	SLOW_DOWN BLOCK
transfix	HOLE_PIERCE BLOCK
blockade	BLOCK
block-off	BLOCK
keep-out	STAY_DWELL BLOCK
shut-out	BLOCK
vote-down	ANNUL BLOCK
vote-out	BLOCK
blanket-jam	BLOCK
crap-up	BLOCK
barricade	BLOCK
block-up	BLOCK
enchain	BLOCK
stanch	BLOCK
staunch	BLOCK
spot-jam	BLOCK
hamper	COMPLEXIFY BLOCK
cramp	HURT_HARM_ACHE ATTACH BLOCK
manacle	BLOCK
handcuff	BLOCK
pin	HOLE_PIERCE ATTACH BLOCK
earth-up	BLOCK
paralyze	BLOCK
paralyse	BLOCK
muzzle	BLOCK DRESS_WEAR
fetter	BLOCK
shackle	BLOCK
disable	HURT_HARM_ACHE BLOCK
disenable	BLOCK
incapacitate	HURT_HARM_ACHE BLOCK
clog	DANCE AMASS SLOW_DOWN BLOCK
clog-up	BLOCK
congest	BLOCK
impede	BLOCK
hinder	COMPLEXIFY BLOCK
palsy	BLOCK
hog-tie	BLOCK
stalemate	BLOCK
jam	HURT_HARM_ACHE AMASS FILL BLOCK PRESS_PUSH_FOLD
disadvantage	BLOCK
disfavor	BLOCK
disfavour	BLOCK
pinion	BLOCK CUT
interlace	WEAVE BLOCK
turn-back	INVERT_REVERSE DRIVE_BACK BLOCK MOVE_BACK RESTORE_STATE_UNDO_UNWIND
obstruct	BLOCK CLOUD_SHADOW_HIDE
obturate	BLOCK
occlude	BLOCK
silt-up	BLOCK
silt	BLOCK
stymie	BLOCK
stymy	BLOCK
embarrass	BLOCK CAUSE_MENTAL_STATE
settle-on	BLOCK
thrombose	BLOCK
filibuster	BLOCK
barrage-jam	BLOCK
mire	BLOCK DIRTY
gimp	BLOCK
point-jam	BLOCK
snooker	BLOCK DECEIVE
grind-to-a-halt	BLOCK
get-stuck	BLOCK
kibosh	BLOCK
petrify	BLOCK CHANGE_APPEARANCE/STATE
chain-up	BLOCK
entangle	MESS BLOCK
barricado	BLOCK
bottleneck	BLOCK TIGHTEN
dam	BLOCK
dam-up	BLOCK
backstop	BLOCK
scoot	RUN
single-foot	RUN
lope	RUN
career	RUN
scurry	RUN
scamper	RUN
scuttle	RUN
hare	RUN
travel-rapidly	RUN
speed	SPEED_UP RUN
race	COMPETE RUN
zip-by	RUN
fly-by	RUN FLY
whisk-by	RUN
run-bases	RUN
blaze-out	RUN
sprint	RUN
hotfoot	RUN
hie	RUN
pelt-along	RUN
rush-along	RUN
cannonball-along	RUN
bucket-along	RUN
belt-along	RUN
step-on-it	RUN
zoom-along	RUN
whizz-along	RUN
accumulate	AMASS
cumulate	AMASS
conglomerate	AMASS
pile-up	AMASS
amass	AMASS
bundle	AMASS PRESS_PUSH_FOLD SLEEP
bundle-up	AMASS DRESS_WEAR
backlog	AMASS
aggregate	AMASS
rick	HURT_HARM_ACHE AMASS
pull-together	AMASS
agglutinate	AMASS COMBINE_MIX_UNITE
agglomerate	AMASS
bale	AMASS
batch	AMASS
centralize	AMASS
centralise	AMASS
heap-up	AMASS
stack-up	AMASS
clot	AMASS CHANGE_APPEARANCE/STATE
haemagglutinate	AMASS
hemagglutinate	AMASS
mound-over	AMASS MOUNT_ASSEMBLE_PRODUCE
muster-up	AMASS
pile	AMASS ASSIGN
heap	AMASS ASSIGN FILL
throng	AMASS
mob	AMASS
squinch	MOVE_BACK FACIAL_EXPRESSION BEND
pout	FACIAL_EXPRESSION
mow	FACIAL_EXPRESSION CUT
grin	FACIAL_EXPRESSION
wince	MOVE_BACK FACIAL_EXPRESSION
palpebrate	FACIAL_EXPRESSION
grimace	FACIAL_EXPRESSION
make-a-face	FACIAL_EXPRESSION
pull-a-face	FACIAL_EXPRESSION
scowl	FACIAL_EXPRESSION
purse	PRESS_PUSH_FOLD FACIAL_EXPRESSION
sulk	FACIAL_EXPRESSION
blink	SPARKLE DRIVE_BACK FACIAL_EXPRESSION
nictitate	FACIAL_EXPRESSION
nictate	FACIAL_EXPRESSION
frown	FACIAL_EXPRESSION
lour	DECREASE FACIAL_EXPRESSION
pooch	FACIAL_EXPRESSION
pooch-out	FACIAL_EXPRESSION
amerce	PUNISH
punish	PUNISH
penalize	PUNISH
penalise	PUNISH
revenge	PUNISH
avenge	PUNISH
victimise	PUNISH HURT_HARM_ACHE
reprove	PUNISH
tar-and-feather	PUNISH
get-even	PUNISH SCORE
ticket	PUNISH LOAD_PROVIDE_CHARGE_FURNISH
fine	PUNISH
attaint	PUNISH OFFEND_DISESTEEM
smock	EMBELLISH
enamel	EMBELLISH
spruce-up	EMBELLISH
spruce	EMBELLISH
slick-up	EMBELLISH
smarten-up	EMBELLISH
marcel	EMBELLISH
tart-up	EMBELLISH DRESS_WEAR
ornament	EMBELLISH
damascene	EMBELLISH
touch-up	EMBELLISH
retouch	EMBELLISH
landscape	EMBELLISH
tinsel	EMBELLISH WEAVE
vermiculate	EMBELLISH
faggot	EMBELLISH ATTACH
fagot	EMBELLISH ATTACH
overdress	EMBELLISH DRESS_WEAR
dress-up	EMBELLISH DRESS_WEAR
fig-out	EMBELLISH
fig-up	EMBELLISH
deck-up	EMBELLISH
gussy-up	EMBELLISH
fancy-up	EMBELLISH
trick-up	EMBELLISH
deck-out	EMBELLISH
trick-out	EMBELLISH
prink	EMBELLISH DRESS_WEAR
attire	EMBELLISH
rig-out	EMBELLISH
tog-up	EMBELLISH
tog-out	EMBELLISH
fledge	EMBELLISH DEVELOP_AGE
inlay	EMBELLISH
gentrify	EMBELLISH
fringe	EMBELLISH
garland	EMBELLISH
fillet	EMBELLISH CUT
filet	EMBELLISH CUT
emblazon	EMBELLISH COLOR
blazon	EMBELLISH
prank	EMBELLISH DRESS_WEAR
theme	EMBELLISH
decorate	EMBELLISH EXALT
adorn	EMBELLISH ASSIGN
grace	EMBELLISH
embellish	EMBELLISH
beautify	EMBELLISH
braid	EMBELLISH WEAVE
face-lift	EMBELLISH
complicate	EMBELLISH COMPLEXIFY
rarify	EMBELLISH
pedicure	EMBELLISH
Simonize	EMBELLISH
Simonise	EMBELLISH
bejewel	EMBELLISH
jewel	EMBELLISH
spangle	LIGHT_SHINE EMBELLISH
embroider	EMBELLISH
broider	EMBELLISH
manicure	EMBELLISH
glamourize	EMBELLISH
glamorise	EMBELLISH
dress-ship	EMBELLISH
lard	EMBELLISH COOK
aggrandize	EMBELLISH
aggrandise	EMBELLISH
stonewash	EMBELLISH
stone-wash	EMBELLISH
window-dress	EMBELLISH
doll-up	EMBELLISH
do-up	EMBELLISH ENCLOSE_WRAP
pretty-up	EMBELLISH
glam-up	EMBELLISH
gild	EMBELLISH
begild	EMBELLISH
engild	EMBELLISH
fancify	EMBELLISH
prettify	EMBELLISH
primp	EMBELLISH
overrefine	EMBELLISH
over-refine	EMBELLISH
caparison	EMBELLISH
bard	EMBELLISH
barde	EMBELLISH
redecorate	EMBELLISH
endear	EMBELLISH
craze	EMBELLISH CAUSE_MENTAL_STATE
titivate	EMBELLISH
tittivate	EMBELLISH
spiff-up	EMBELLISH
parget	EMBELLISH
bedight	EMBELLISH
bedeck	EMBELLISH
slick-down	EMBELLISH
sleek-down	EMBELLISH
prim	EMBELLISH PRESS_PUSH_FOLD
prim-up	EMBELLISH
prim-out	EMBELLISH
festoon	EMBELLISH
coif	EMBELLISH DRESS_WEAR
coiffe	EMBELLISH
coiffure	EMBELLISH
roach	EMBELLISH CUT
glorify	EMBELLISH EXALT
polish-up	EMBELLISH
refurbish	EMBELLISH
renovate	EMBELLISH AROUSE_WAKE_ENLIVEN REPAIR_REMEDY
board	STAY_DWELL CATCH_EMBARK HOST_MEAL_INVITE
ask-in	HOST_MEAL_INVITE
ask-over	HOST_MEAL_INVITE
ask-round	HOST_MEAL_INVITE
break-bread	HOST_MEAL_INVITE
pay-for	HOST_MEAL_INVITE
host	HOST_MEAL_INVITE
eat-out	HOST_MEAL_INVITE
dine-out	HOST_MEAL_INVITE
guarantee	GUARANTEE_ENSURE_PROMISE
collateralize	GUARANTEE_ENSURE_PROMISE
swear-off	GUARANTEE_ENSURE_PROMISE
warrant	GUARANTEE_ENSURE_PROMISE GROUND_BASE_FOUND
take-the-stand	GUARANTEE_ENSURE_PROMISE
reassure	MAKE_RELAX GUARANTEE_ENSURE_PROMISE
retranslate	TRANSLATE
mistranslate	TRANSLATE
raffle	OFFER
raffle-off	OFFER
participate	PARTICIPATE
interfere	INSERT PARTICIPATE
mingle	PARTICIPATE COMBINE_MIX_UNITE DISORDER_RANDOMIZE
sit-in	PARTICIPATE ATTEND
take-part	PARTICIPATE
tangle-with	PARTICIPATE
rival	COMPETE MATCH
cross-file	COMPETE
compete	COMPETE
vie	COMPETE
horse-race	COMPETE
boat-race	COMPETE
backlash	RETURN
recoil	MOVE_BACK DRIVE_BACK RETURN
home	STAY_DWELL RETURN
cycle-on	RETURN
boomerang	RETURN
go-home	RETURN
head-home	RETURN
resurrect	AROUSE_WAKE_ENLIVEN RETURN
predetermine	INFLUENCE DECIDE_DETERMINE
pinpoint	DECIDE_DETERMINE
make-up-one's-mind	DECIDE_DETERMINE
play-it-by-ear	DECIDE_DETERMINE
figure-out	DECIDE_DETERMINE
puzzle-out	DECIDE_DETERMINE
pin-down	DECIDE_DETERMINE ATTACH CAGE_IMPRISON
reason-out	DECIDE_DETERMINE
conclude	FINISH_CONCLUDE_END DECIDE_DETERMINE SETTLE_CONCILIATE
disgrace	OFFEND_DISESTEEM DOWNPLAY_HUMILIATE
demean	DOWNPLAY_HUMILIATE
neglect	DOWNPLAY_HUMILIATE MISS_OMIT_LACK FAIL_LOSE
humiliate	DOWNPLAY_HUMILIATE
chagrin	DOWNPLAY_HUMILIATE
abase	DOWNPLAY_HUMILIATE
outclass	DOWNPLAY_HUMILIATE
soft-pedal	DOWNPLAY_HUMILIATE
trivialize	DOWNPLAY_HUMILIATE
trivialise	DOWNPLAY_HUMILIATE
understate	DOWNPLAY_HUMILIATE
downplay	DOWNPLAY_HUMILIATE
diminish	DECREASE DOWNPLAY_HUMILIATE
belittle	DOWNPLAY_HUMILIATE CRITICIZE
dehumanize	DOWNPLAY_HUMILIATE CHANGE_APPEARANCE/STATE
dehumanise	DOWNPLAY_HUMILIATE CHANGE_APPEARANCE/STATE
wave-off	DOWNPLAY_HUMILIATE
haze	DOWNPLAY_HUMILIATE CLOUD_SHADOW_HIDE
derogate	DOWNPLAY_HUMILIATE
vilipend	DOWNPLAY_HUMILIATE
background	DOWNPLAY_HUMILIATE
play-down	DOWNPLAY_HUMILIATE
teeter-totter	PLAY_SPORT/GAME
teetertotter	PLAY_SPORT/GAME
speed-skate	PLAY_SPORT/GAME
castle	PLAY_SPORT/GAME
slalom	PLAY_SPORT/GAME
overtrump	PLAY_SPORT/GAME
ride-the-bench	PLAY_SPORT/GAME
warm-the-bench	PLAY_SPORT/GAME
loiter	PLAY_SPORT/GAME
lounge	PLAY_SPORT/GAME LIE
lollygag	PLAY_SPORT/GAME
loaf	EXIST_LIVE PLAY_SPORT/GAME
lallygag	PLAY_SPORT/GAME
hang-around	PLAY_SPORT/GAME
mess-about	PLAY_SPORT/GAME
shoot-craps	PLAY_SPORT/GAME
dice	SHAPE PLAY_SPORT/GAME
skittle	PLAY_SPORT/GAME
splash-around	PLAY_SPORT/GAME
roughhouse	PLAY_SPORT/GAME
gamble	BID PLAY_SPORT/GAME
cricket	PLAY_SPORT/GAME
golf	PLAY_SPORT/GAME
ruff	PLAY_SPORT/GAME
take-after	SIMULATE MATCH
copy	SIMULATE COPY
simulate	SIMULATE
follow-suit	SIMULATE
mimic	SIMULATE
sham	SIMULATE DECEIVE
feign	SIMULATE DECEIVE
parallelize	BORDER
conglutinate	ATTACH BORDER
juxtapose	BORDER
parallel	BORDER MATCH
geminate	COMBINE_MIX_UNITE BORDER INCREASE_ENLARGE_MULTIPLY
appose	BORDER
border	LOAD_PROVIDE_CHARGE_FURNISH ENCLOSE_WRAP BORDER
abut	BORDER
butt-on	BORDER
neighbor	BORDER
neighbour	BORDER
beard	BORDER
thumbtack	ATTACH
enmesh	ATTACH
ensnarl	ATTACH
epoxy	ATTACH
staple	ATTACH
braze	ATTACH
scotch-tape	ATTACH
sellotape	ATTACH
anchor	ATTACH
cast-anchor	ATTACH
drop-anchor	ATTACH
bell	ATTACH
suffix	ATTACH
cleave	CAVE_CARVE ATTACH CUT
cohere	COMBINE_MIX_UNITE ATTACH
ligate	ATTACH JOIN_CONNECT
concatenate	ATTACH
faggot-up	ATTACH
hinge	ATTACH
spotweld	ATTACH
spot-weld	ATTACH
tag-on	ATTACH
tack-on	ATTACH
pin-up	ATTACH
hold-fast	ATTACH
prefix	ATTACH
gum-up	ATTACH
hedge-in	ENCLOSE_WRAP
bandage	ENCLOSE_WRAP
swallow-up	ENCLOSE_WRAP
frame-in	ENCLOSE_WRAP
embower	ENCLOSE_WRAP
bower	ENCLOSE_WRAP
embank	ENCLOSE_WRAP
environ	ENCLOSE_WRAP
hem-in	ENCLOSE_WRAP
come-together	ENCLOSE_WRAP
encase	ENCLOSE_WRAP
incase	ENCLOSE_WRAP
wall-in	ENCLOSE_WRAP
wall-up	ENCLOSE_WRAP
fence-in	ENCLOSE_WRAP STRENGTHEN_MAKE_RESISTANT
enclose	INSERT ENCLOSE_WRAP
sheet	ENCLOSE_WRAP METEOROLOGICAL
glass-in	ENCLOSE_WRAP
dike	ENCLOSE_WRAP
dyke	ENCLOSE_WRAP
cere	ENCLOSE_WRAP
enshrine	ENCLOSE_WRAP
shrine	ENCLOSE_WRAP
confect	ENCLOSE_WRAP MOUNT_ASSEMBLE_PRODUCE
confection	ENCLOSE_WRAP
