sit-out	TOLERATE ABSTAIN_AVOID_REFRAIN
put	ORGANIZE CHANGE_APPEARANCE/STATE PUT_APPLY_PLACE_PAVE CALCULATE_ESTIMATE HARMONIZE UNDERGO_EXPERIENCE SPEAK EXIST_WITH_FEATURE
couch	SPEAK
drone	PERFORM SPEAK
drone-on	SPEAK
say	ORDER AFFIRM DECREE_DECLARE SUPPOSE PRONOUNCE CITE SIGNAL_INDICATE SPEAK MEAN REPEAT
enthuse	CAUSE_MENTAL_STATE SPEAK
converse	SPEAK
discourse	DISCUSS SPEAK
aphorize	SPEAK
aphorise	SPEAK
rumor	SPEAK
rumour	SPEAK
bruit	SPEAK
thunder	RUN MAKE_A_SOUND SPEAK
roar	GO_FORWARD MAKE_A_SOUND LAUGH SPEAK CRY
chew-the-fat	SPEAK
shoot-the-breeze	SPEAK
chat	SPEAK
confabulate	IMAGINE DISCUSS SPEAK
confab	DISCUSS SPEAK
chitchat	SPEAK
chit-chat	SPEAK
chatter	MAKE_A_SOUND CUT SPEAK
chaffer	QUARREL_POLEMICIZE SPEAK
natter	SPEAK
gossip	REVEAL SPEAK
claver	SPEAK
visit	VISIT IMPOSE SPEAK ANALYZE CONTRACT_AN_ILLNESS_INFECT
come-out-of-the-closet	SPEAK
out	REVEAL SPEAK
come-out	REVEAL FINISH_CONCLUDE_END BULGE_OUT CARRY_OUT_ACTION APPEAR SEPARATE_FILTER_DETACH EMIT RESULT_CONSEQUENCE SPEAK PUBLISH
bite-out	SPEAK
blaze-away	PERFORM SHOOT_LAUNCH_PROPEL SPEAK
unbosom	SPEAK
relieve	STEAL_DEPRIVE MAKE_RELAX HELP_HEAL_CARE_CURE SPEAK EXEMPT
rant	SPEAK
mouth-off	SPEAK
jabber	SPEAK
spout	GO_FORWARD SPEAK
rabbit-on	SPEAK
rave	APPROVE_PRAISE CELEBRATE_PARTY SPEAK
orate	SPEAK
fib	SPEAK
spill	SPILL_POUR EMPTY_UNLOAD SPEAK REDUCE_DIMINISH EXCRETE
advertise	PUBLICIZE SPEAK
publicize	SPEAK
advertize	PUBLICIZE SPEAK
publicise	SPEAK
perjure	SPEAK
drop	HANG DROP EMPTY_UNLOAD FINISH_CONCLUDE_END FAIL_LOSE DISMISS_FIRE KNOCK_DOWN SPILL_POUR CONSUME_SPEND SPEAK DISBAND_BREAK_UP DISCARD MISS_OMIT_LACK GIVE_BIRTH LOWER WORSEN DECREASE EXHAUST EAT_BITE
hold-forth	SPEAK
dissertate	SPEAK
rasp	CORRODE_WEAR_AWAY_SCRATCH SPEAK
blubber	CRY SPEAK
blubber-out	SPEAK
vocalize	PRONOUNCE SING EXPLAIN SPEAK
vocalise	PRONOUNCE SING EXPLAIN SPEAK
phonate	SPEAK
threaten	ENDANGER SIGNAL_INDICATE SPEAK
snap	HIT MOVE_SOMETHING SEPARATE_FILTER_DETACH BREAK_DETERIORATE RECORD CATCH EXPERIENCE_MENTAL_STATE SPEAK MAKE_A_SOUND CLOSE EAT_BITE
snarl	MESS WORSEN MAKE_A_SOUND SPEAK
signify	MEAN SPEAK
toss-in	SPEAK
dogmatize	SPEAK
dogmatise	SPEAK
slang	OFFEND_DISESTEEM DECEIVE SPEAK
rattle-down	SPEAK
rattle-off	SPEAK
reel-off	COIL SPEAK
spiel-off	SPEAK
roll-off	SPEAK
